,sorted_annotations,mappings
0,7030 sleeping;MET 0.95,5
1,carrying heavy loads;MET 8.0,4
2,home activity;child/elderly/pet care;MET 2.3,7
3,home activity;child/elderly/pet care;child care;5181 walking and carrying child;MET 3.0,0
4,home activity;child/elderly/pet care;child care;5183 standing holding child;MET 2.0,7
5,home activity;child/elderly/pet care;child care;5185 child care sitting/kneeling  occasional lifting;MET 2.0,4
6,home activity;child/elderly/pet care;child care;5185 child care sitting/kneeling occasional lifting;MET 2.0,7
7,home activity;child/elderly/pet care;child care;5185 child care sitting/kneeling;MET 2.0,2
8,home activity;child/elderly/pet care;child care;5186 child care standing occasional lifting;MET 3.0,7
9,home activity;child/elderly/pet care;pet care;MET 2.5,7
10,home activity;eating;13030 eating sitting alone or with someone;MET 1.5,5
11,home activity;eating;13035 eating standing alone or with others;MET 2.0,7
12,home activity;household chores;grocery shopping;5060 shopping;MET 2.3,0
13,home activity;household chores;house cleaning;MET 2.5,7
14,home activity;household chores;house cleaning;floors;5010 cleaning sweeping carpet or floors;MET 3.3,7
15,home activity;household chores;house cleaning;floors;5131 scrubbing floors on hands and knees scrubbing bathroom bathtub;MET 2.0,7
16,home activity;household chores;house cleaning;floors;5140 sweeping garage sidewalk or outside of house;MET 4.0,0
17,home activity;household chores;house cleaning;furniture;5020 cleaning heavy such as car/windows/garage;MET 3.5,7
18,home activity;household chores;house cleaning;furniture;5032 dusting or polishing furniture;MET 2.3,7
19,home activity;household chores;house cleaning;miscellaneous;5100 making bed/changing linens;MET 3.3,7
20,home activity;household chores;preparing meals/cooking/washing dishes;5035 cleaning up table after meal implied walking (e.g. leaving from eating table to the kitchen);MET 3.3,7
21,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up;MET 3.3,7
22,home activity;household chores;preparing meals/cooking/washing dishes;5051 serving food/setting table implied walking and standing;MET 2.5,7
23,home activity;household chores;washing/ironing/mending clothes;5070 ironing;MET 1.8,7
24,home activity;household chores;washing/ironing/mending clothes;5090 folding or hanging clothes/put clothes in or out of washer or dryer/packing suitcase limited walking;MET 2.0,7
25,home activity;household chores;washing/ironing/mending clothes;5095 putting away /gathering clothes involving walking;MET 2.3,7
26,home activity;leisure;activities for maintenance of a household;miscellaneous;9100 retreat/family reunion activities involving sitting eating relaxing talking with more than one person;MET 1.8,5
27,home activity;leisure;activities for maintenance of a household;miscellaneous;9101 retreat/family reunion activities playing games with more than one person;MET 3.0,2
28,home activity;leisure;activities for maintenance of a household;with children;5170 sitting playing with child(ren);MET 2.2,2
29,home activity;leisure;activties for maintenance of a household;5170 sitting playing with child(ren);MET 2.2,2
30,home activity;leisure;activties for maintenance of a household;9100 retreat/family reunion activities involving sitting eating relaxing talking with more than one person;MET 1.8,5
31,home activity;leisure;activties for maintenance of a household;miscellaneous;9100 retreat/family reunion activities involving sitting eating relaxing talking with more than one person;MET 1.8,5
32,home activity;leisure;activties for maintenance of a household;with children;5170 sitting playing with child(ren);MET 2.2,5
33,home activity;leisure;mixed-activity;walking+activity;MET 3.0,0
34,home activity;leisure;sitting;sitstand+activity;MET 2.5,7
35,home activity;miscellaneous;5025 (generic) multiple household tasks all at once including standing/lifting/sitting;MET 2.8,7
36,home activity;miscellaneous;sitting;11580 office work such as writing and typing (with or without eating at the same time);MET 1.5,2
37,home activity;miscellaneous;sitting;11580 office/computer work general;MET 1.5,2
38,home activity;miscellaneous;sitting;21010 sitting non-desk work (with or without eating at the same time);MET 2.5,2
39,home activity;miscellaneous;sitting;5080 sitting non-desk work (with or without eating at the same time);MET 1.3,2
40,home activity;miscellaneous;sitting;7010 lying and watching television with TV on as the primary activity;MET 1.0,5
41,home activity;miscellaneous;sitting;7010 sitting/lying and watching television with TV on as the primary activity;MET 1.0,5
42,home activity;miscellaneous;sitting;7021 sitting without observable actiivties;MET 1.3,5
43,home activity;miscellaneous;sitting;7021 sitting without observable activities;MET 1.3,0
44,home activity;miscellaneous;sitting;9030  sitting desk work (with or without eating at the same time);MET 1.3,5
45,home activity;miscellaneous;sitting;9030 sitting desk entertainment/hobby (with or without eating at the same time);MET 1.3,2
46,home activity;miscellaneous;sitting;9030 sitting desk work (with or without eating at the same time);MET 1.3,5
47,home activity;miscellaneous;sitting;9055 sitting/lying talking in person/using a mobile phone/smartphone/tablet or talking on the phone/computer (skype chatting);MET 1.5,5
48,home activity;miscellaneous;sitting;9060 sitting reading or using a mobile phone/smartphone/tablet or talking on the phone/computer (skype chatting);MET 1.3,5
49,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable activities;MET 1.3,5
50,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities;MET 1.3,5
51,home activity;miscellaneous;standing;5146 standing packing/unpacking household items occasional lifting;MET 3.5,7
52,home activity;miscellaneous;standing;5146 standing packing/unpaking household items occational lifting;MET 3.5,7
53,home activity;miscellaneous;standing;9020 standing writing/drawing/painting;MET 1.8,2
54,home activity;miscellaneous;standing;9050 standing talking in person on the phone/computer (skype chatting) or using a mobileo phone/smartphone/tablet;MET 1.8,5
55,home activity;miscellaneous;standing;9050 standing talking in person/on the phone/computer (skype chatting) or using a mobile phone/smartphone/tablet;MET 1.8,5
56,home activity;miscellaneous;standing;9070 standing reading or without observable/identifiable activities;MET 1.8,7
57,home activity;miscellaneous;standing;9070 standing reading or without obvious activities;MET 1.8,5
58,home activity;miscellaneous;standing;9071 (generic) standing miscellaneous;MET 2.5,7
59,home activity;miscellaneous;walking;17150 walking household without observable loads;MET 2.0,0
60,home activity;miscellaneous;walking;5121 walking with moving and lifting loads such as bikes and furniture;MET 4.0,7
61,home activity;miscellaneous;walking;5147 walking moving away light items (pens/papers/keys not included);MET 3.0,7
62,home activity;miscellaneous;walking;5165 (generic) walking non-cleaning task such as closing windows lock door putting away items;MET 3.5,7
63,home activity;self care;13000 getting ready for bed standing;MET 2.3,7
64,home activity;self care;13009 toilet eliminating or squatting;MET 1.8,5
65,home activity;self care;13020 dressing/undressing;MET 2.5,7
66,home activity;self care;13040 (generic) self care such as grooming/washing hands/shaving/brushing teeth/putting on make-up not eliminating and bathing (not necessary in the toilet);MET 2.0,7
67,home activity;self care;13045 hairstyling standing;MET 2.5,7
68,household-chores;sitstand+activity;MET 2.5,7
69,household-chores;sitstand+activity;MET 4.0,7
70,household-chores;sitstand+activity;social;MET 4.5,2
71,household-chores;sitstand+lowactivity;MET 1.3,2
72,household-chores;sitstand+lowactivity;MET 2.8,2
73,household-chores;walking+activity;MET 3.0,7
74,leisure;eating;13030 eating sitting indoor/outdoor;MET 1.5,5
75,leisure;eating;13035 eating standing indoor/outdoor;MET 2.0,0
76,leisure;eating;5060 buying foods or drinks as a takeaway;MET 2.3,5
77,leisure;eating;not-social;13030 eating sitting indoor/outdoor;MET 1.5,7
78,leisure;eating;not-social;13035 eating standing indoor/outdoor;MET 2.0,0
79,leisure;eating;not-social;5060 buying foods or drinks as a takeaway;MET 2.3,5
80,leisure;eating;social;13030 eating sitting indoor/outdoor;MET 1.5,5
81,leisure;eating;social;13035 eating standing indoor/outdoor;MET 2.0,5
82,leisure;eating;social;5060 buying foods or drinks as a takeaway;MET 2.3,0
83,leisure;miscellaneous;17031 loading /unloading a car implied walking;MET 3.5,7
84,leisure;miscellaneous;21000 sitting meeting or talking with others;MET 1.5,5
85,leisure;miscellaneous;21005 (generic) sitting light office writing typing work;MET 1.5,2
86,leisure;miscellaneous;21010 sitting non-desk work (with or without eating at the same time);MET 2.5,2
87,leisure;miscellaneous;21016 sitting child care only active periods;MET 2.0,5
88,leisure;miscellaneous;21017 standing child care only active periods;MET 3.0,7
89,leisure;miscellaneous;21070 (generic) walking/standing combination indoor;MET 3.0,7
90,leisure;miscellaneous;5060 shopping miscellaneous;MET 2.3,0
91,leisure;miscellaneous;9071 (generic) standing miscellaneous indoor or outdoor;MET 2.5,7
92,leisure;miscellaneous;sitting;21000 sitting meeting;MET 1.5,5
93,leisure;miscellaneous;sitting;21005 (generic) sitting light office writing typing work;MET 1.5,2
94,leisure;miscellaneous;sitting;21016 sitting child care only active periods;MET 2.0,7
95,leisure;miscellaneous;sitting;5080 sitting non-desk work (with or without eating at the same time);MET 1.3,2
96,leisure;miscellaneous;sitting;9055 sitting talking to person/using the phone;MET 1.5,5
97,leisure;miscellaneous;sitting;9060 (generic) sitting/lying reading or without observable activities;MET 1.3,5
98,leisure;miscellaneous;sitting;9060 (generic) sitting/lying reading or without observable/identifiable activities;MET 1.3,5
99,leisure;miscellaneous;standing;21017 standing child care only active periods;MET 3.0,0
100,leisure;miscellaneous;standing;9020 standing writing/drawing/painting;MET 1.8,2
101,leisure;miscellaneous;standing;9050 standing talking in person/using a phone/smartphone/tablet;MET 1.8,5
102,leisure;miscellaneous;standing;9070 standing reading or without observable/identifiable activities;MET 1.8,5
103,leisure;miscellaneous;standing;9070 standing reading or without obvious activities;MET 1.8,5
104,leisure;miscellaneous;standing;9071 (generic) standing miscellaneous;MET 2.5,5
105,leisure;miscellaneous;walking;17031 loading /unloading a car implied walking;MET 3.5,7
106,leisure;miscellaneous;walking;17070 descending stairs;MET 3.5,0
107,leisure;miscellaneous;walking;17133 walking upstairs;MET 4.0,2
108,leisure;miscellaneous;walking;21070 (generic) walking and occasional standing (no more than two consecutive images);MET 2.5,9
109,leisure;miscellaneous;walking;5060 shopping miscellaneous;MET 2.3,0
110,leisure;recreation;outdoor;5171 standing playing with child(ren);MET 2.8,0
111,leisure;recreation;outdoor;5175 walking/running playing with child(ren);MET 3.5,9
112,leisure;sports;gymnasium and athletics;athletics;12150 running;MET 8.0,4
113,leisure;sports;miscellaneous;17082 hiking or walking at a normal pace through fields and hillsides;MET 5.0,6
114,manual-work;MET 8.0,7
115,manual-work;sitstand+activity;MET 1.5,7
116,manual-work;sitstand+activity;MET 2.0,7
117,manual-work;sitstand+activity;MET 3.0,7
118,manual-work;sitstand+activity;MET 5.0,7
119,manual-work;sitstand+activity;MET 5.5,7
120,manual-work;walking+activity;MET 3.0,7
121,manual-work;walking+activity;MET 3.5,7
122,manual-work;walking+activity;MET 3.8,7
123,manual-work;walking+activity;MET 5.5,7
124,mixed-activity;MET 4.5,7
125,mixed-activity;sitstand+activity;MET 2.0,2
126,mixed-activity;sitstand+activity;MET 2.5,7
127,mixed-activity;walking+activity;MET 2.0,0
128,occupation;interruption;11585 sitting meeting/talking to colleages with or without eating;MET 1.5,2
129,occupation;interruption;11585 sitting meeting/talking to colleagues with or without eating;MET 1.5,5
130,occupation;interruption;11791 walking on job in office or lab area;MET 2.0,7
131,occupation;interruption;11795 walking on job and carrying light objects such as boxes or pushing trolleys;MET 3.5,7
132,occupation;interruption;13009 toilet break;MET 1.8,7
133,occupation;interruption;13030 eating sitting;MET 1.5,2
134,occupation;interruption;13035 eating standing;MET 2.0,7
135,occupation;interruption;17133 walking upstairs;MET 4.0,5
136,occupation;interruption;5041 kitchen activity in the working place;MET 1.8,7
137,occupation;interruption;9015 standing scanning documents;MET 1.5,7
138,occupation;interruption;9020 standing writing/drawing/painting;MET 1.8,2
139,occupation;interruption;9050 standing talking in persone/using a phone/smartphone/tablet;MET 1.8,7
140,occupation;interruption;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.);MET 1.5,2
141,occupation;interruption;9060 (generic) sitting without observable activities;MET 1.3,2
142,occupation;interruption;9060 (generic) sitting without observable/identifiable activities;MET 1.3,5
143,occupation;interruption;9060 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.);MET 1.3,2
144,occupation;interruption;9070 standing reading or without observable/identifiable activities;MET 1.8,0
145,occupation;interruption;9070 standing reading or without obvious activities;MET 1.8,5
146,occupation;interruption;miscellaneous;13009 toilet break;MET 1.8,2
147,occupation;interruption;miscellaneous;5041 kitchen activity in the working place;MET 1.8,7
148,occupation;interruption;sitting;11585 sitting meeting/talking to colleagues with or without eating;MET 1.5,5
149,occupation;interruption;sitting;13030 eating sitting;MET 1.5,2
150,occupation;interruption;sitting;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.);MET 1.5,2
151,occupation;interruption;sitting;9060 sitting without observable/identifiable activities;MET 1.3,5
152,occupation;interruption;standing;13035 eating standing;MET 2.0,2
153,occupation;interruption;standing;9015 standing scanning documents;MET 1.5,7
154,occupation;interruption;standing;9020 standing writing/drawing/painting;MET 1.8,7
155,occupation;interruption;standing;9050 standing talking in person/using a phone/smartphone/tablet;MET 1.8,5
156,occupation;interruption;standing;9050 standing talking in persone/using a phone/smartphone/tablet;MET 1.8,7
157,occupation;interruption;standing;9070 standing reading or without observable/identifiable activities;MET 1.8,5
158,occupation;interruption;standing;9071 (generic) standing miscellaneous;MET 2.5,7
159,occupation;interruption;walking;11791 walking on job in office or lab area;MET 2.0,9
160,occupation;interruption;walking;11795 walking on job and carrying light objects such as boxes or pushing trolleys;MET 3.5,9
161,occupation;interruption;walking;17070 walking downstairs;MET 3.5,9
162,occupation;interruption;walking;17133 walking upstairs;MET 4.0,9
163,occupation;miscellaneous;11475 (generic) manual labour;MET 2.8,7
164,occupation;miscellaneous;11475 (generic) manual or unskilled labour;MET 2.8,7
165,occupation;miscellaneous;11615 (generic) standing lifting items continuously with limited walking;MET 4.5,7
166,occupation;office and administrative support;11580 office wok/computer work general;MET 1.5,2
167,occupation;office and administrative support;11580 office work/computer work general;MET 1.5,2
168,occupation;office and administrative support;11580 office/computer work general;MET 1.5,2
169,occupation;office and administrative support;11600 (generic) standing tasks such as store clerk/libarian/packing boxes/repair heavy parts;MET 3.0,7
170,occupation;office and administrative support;11600 (generic) standing tasks such as store clerk/librarian/packing boxes/repair heavy parts;MET 3.0,2
171,sitting;sitstand+activity;MET 1.8,7
172,sitting;sitstand+activity;social;MET 1.8,5
173,sitting;sitstand+lowactivity;MET 1.3,5
174,sitting;sitstand+lowactivity;MET 1.5,7
175,sitting;sitstand+lowactivity;screen;MET 1.0,2
176,sports/gym;MET 2.5,0
177,sports/gym;MET 2.8,0
178,sports/gym;MET 3.0,5
179,sports/gym;MET 3.5,8
180,sports/gym;MET 5.0,7
181,sports/gym;MET 5.3,3
182,sports/gym;MET 5.5,5
183,sports/gym;MET 6.0,7
184,sports/gym;MET 7.0,1
185,sports/gym;MET 8.0,0
186,sports/gym;MET 8.5,1
187,sports/gym;MET 9.0,4
188,standing;sitstand+activity;MET 2.0,7
189,standing;sitstand+activity;social;MET 1.8,0
190,standing;sitstand+activity;social;MET 2.5,7
191,transportation;private transportation;1010 bicycling;MET 4.0,1
192,transportation;private transportation;16010 driving automobile or light truck (not a semi);MET 2.5,4
193,transportation;private transportation;16015 riding in a car or truck;MET 1.3,4
194,transportation;public transportation;16016 riding in a bus or train;MET 1.3,4
195,transportation;waiting;7021 sitting;MET 1.3,5
196,transportation;waiting;7040 standing in a line;MET 1.3,5
197,transportation;walking;12150 running;MET 8.0,7
198,transportation;walking;17161 walking not as the single means of transports e.g.from house to transports or vice versa/from car to places or vice versa/between transports;MET 2.5,9
199,transportation;walking;17250 walking as the single means to a destination not to work or class;MET 3.0,9
200,transportation;walking;17270 walking as the single means to work or class (not from);MET 3.5,9
201,transportation;walking;9050 standing miscellaneous (talking to others etc.);MET 1.8,5
202,transportation;walking;9071 standing miscellaneous (talking to others etc.);MET 2.5,7
203,vehicle;MET 1.3,7
204,vehicle;MET 2.8,4
205,walking;MET 3.0,9
